Id,Category
HW00002897,6
HW00001276,8
HW00000794,6
HW00001003,6
HW00003647,6
HW00001784,6
HW00007717,6
HW00007694,2
HW00001891,6
HW00007365,6
HW00007926,0
HW00001162,2
HW00002171,6
HW00002795,6
HW00005799,6
HW00001615,6
HW00007024,6
HW00003824,6
HW00000441,6
HW00004091,9
HW00006230,0
HW00004417,6
HW00007085,6
HW00000596,6
HW00000686,6
HW00004654,6
HW00004082,6
HW00006228,6
HW00003683,8
HW00004668,1
HW00005510,6
HW00000894,6
HW00001978,6
HW00001179,6
HW00003309,7
HW00005913,1
HW00005317,6
HW00004053,7
HW00006237,6
HW00001398,5
HW00003239,6
HW00006218,6
HW00004534,8
HW00004991,7
HW00006779,6
HW00006335,7
HW00002472,2
HW00002433,8
HW00003388,8
HW00000630,6
HW00005417,6
HW00000312,8
HW00002034,6
HW00001149,6
HW00003173,6
HW00001589,4
HW00007575,6
HW00002938,6
HW00001690,9
HW00007834,9
HW00000425,6
HW00005076,6
HW00004946,6
HW00006949,6
HW00001825,6
HW00007311,3
HW00007480,6
HW00003323,6
HW00006686,9
HW00007282,5
HW00006032,6
HW00006810,6
HW00005858,8
HW00001786,0
HW00007650,8
HW00001184,8
HW00002636,6
HW00001849,6
HW00001969,6
HW00003424,6
HW00007929,6
HW00001440,6
HW00005409,6
HW00004973,9
HW00001130,6
HW00003902,8
HW00005447,7
HW00000782,6
HW00001547,1
HW00003671,6
HW00003873,6
HW00002543,6
HW00007881,6
HW00000313,6
HW00006299,6
HW00001395,7
HW00007086,6
HW00002673,9
HW00005960,6
HW00004663,6
HW00004252,8
HW00004916,6
HW00006472,6
HW00005944,6
HW00005940,0
HW00007583,6
HW00000767,6
HW00004397,2
HW00003483,7
HW00007808,7
HW00001736,7
HW00007367,0
HW00000490,9
HW00005517,6
HW00003221,5
HW00007246,6
HW00002450,8
HW00007147,6
HW00006743,6
HW00006349,6
HW00002258,8
HW00003557,6
HW00001366,6
HW00004009,8
HW00000464,9
HW00005064,6
HW00005112,8
HW00002604,9
HW00001739,2
HW00002257,6
HW00001232,5
HW00005588,6
HW00002283,9
HW00007376,7
HW00004726,6
HW00002147,6
HW00002108,8
HW00000279,6
HW00000040,6
HW00003525,6
HW00006889,6
HW00007843,0
HW00006423,6
HW00005155,6
HW00000282,9
HW00007820,3
HW00002369,9
HW00001748,6
HW00007017,6
HW00006282,7
HW00005545,7
HW00005559,6
HW00004383,9
HW00006665,6
HW00007794,6
HW00001549,9
HW00001484,6
HW00000719,8
HW00001678,6
HW00006619,6
HW00002483,6
HW00006801,6
HW00004735,6
HW00006217,7
HW00005555,6
HW00003559,6
HW00000132,7
HW00000739,6
HW00003217,6
HW00002097,8
HW00005035,6
HW00006431,8
HW00000804,6
HW00001474,6
HW00006484,7
HW00007200,6
HW00002631,6
HW00003240,6
HW00000167,9
HW00006845,7
HW00001133,6
HW00004781,6
HW00002670,3
HW00004724,9
HW00001603,6
HW00007501,6
HW00006905,6
HW00003438,6
HW00005119,3
HW00004439,6
HW00003150,6
HW00004494,6
HW00001354,6
HW00003363,7
HW00003304,9
HW00001056,6
HW00007513,6
HW00005426,7
HW00004586,6
HW00005749,6
HW00005845,6
