Id,Category
HW00002897,6
HW00001276,0
HW00000794,0
HW00001003,0
HW00003647,6
HW00001784,6
HW00007717,6
HW00007694,0
HW00001891,0
HW00007365,0
HW00007926,0
HW00001162,0
HW00002171,6
HW00002795,0
HW00005799,2
HW00001615,6
HW00007024,6
HW00003824,0
HW00000441,0
HW00004091,0
HW00006230,0
HW00004417,6
HW00007085,0
HW00000596,6
HW00000686,6
HW00004654,6
HW00004082,6
HW00006228,6
HW00003683,0
HW00004668,0
HW00005510,0
HW00000894,0
HW00001978,0
HW00001179,6
HW00003309,0
HW00005913,0
HW00005317,0
HW00004053,7
HW00006237,6
HW00001398,0
HW00003239,2
HW00006218,0
HW00004534,8
HW00004991,0
HW00006779,6
HW00006335,0
HW00002472,0
HW00002433,0
HW00003388,0
HW00000630,6
HW00005417,6
HW00000312,0
HW00002034,2
HW00001149,0
HW00003173,6
HW00001589,0
HW00007575,6
HW00002938,0
HW00001690,0
HW00007834,0
HW00000425,0
HW00005076,0
HW00004946,0
HW00006949,0
HW00001825,0
HW00007311,0
HW00007480,6
HW00003323,0
HW00006686,9
HW00007282,9
HW00006032,6
HW00006810,0
HW00005858,0
HW00001786,0
HW00007650,0
HW00001184,0
HW00002636,6
HW00001849,0
HW00001969,0
HW00003424,0
HW00007929,6
HW00001440,0
HW00005409,6
HW00004973,0
HW00001130,6
HW00003902,6
HW00005447,0
HW00000782,0
HW00001547,0
HW00003671,0
HW00003873,0
HW00002543,0
HW00007881,6
HW00000313,0
HW00006299,0
HW00001395,0
HW00007086,6
HW00002673,1
HW00005960,0
HW00004663,6
HW00004252,0
HW00004916,6
HW00006472,0
HW00005944,0
HW00005940,0
HW00007583,6
HW00000767,0
HW00004397,0
HW00003483,0
HW00007808,0
HW00001736,0
HW00007367,0
HW00000490,0
HW00005517,6
HW00003221,0
HW00007246,0
HW00002450,1
HW00007147,0
HW00006743,0
HW00006349,6
HW00002258,0
HW00003557,6
HW00001366,0
HW00004009,0
HW00000464,0
HW00005064,0
HW00005112,0
HW00002604,9
HW00001739,2
HW00002257,0
HW00001232,0
HW00005588,6
HW00002283,0
HW00007376,6
HW00004726,0
HW00002147,5
HW00002108,6
HW00000279,0
HW00000040,6
HW00003525,0
HW00006889,6
HW00007843,0
HW00006423,6
HW00005155,0
HW00000282,0
HW00007820,3
HW00002369,0
HW00001748,0
HW00007017,6
HW00006282,0
HW00005545,0
HW00005559,0
HW00004383,0
HW00006665,6
HW00007794,0
HW00001549,0
HW00001484,2
HW00000719,0
HW00001678,0
HW00006619,6
HW00002483,0
HW00006801,6
HW00004735,0
HW00006217,0
HW00005555,8
HW00003559,0
HW00000132,0
HW00000739,6
HW00003217,6
HW00002097,0
HW00005035,6
HW00006431,0
HW00000804,0
HW00001474,6
HW00006484,0
HW00007200,0
HW00002631,0
HW00003240,0
HW00000167,8
HW00006845,0
HW00001133,6
HW00004781,0
HW00002670,0
HW00004724,0
HW00001603,6
HW00007501,0
HW00006905,0
HW00003438,0
HW00005119,2
HW00004439,0
HW00003150,0
HW00004494,2
HW00001354,6
HW00003363,0
HW00003304,0
HW00001056,6
HW00007513,6
HW00005426,2
HW00004586,0
HW00005749,0
HW00005845,0
HW00005181,6
HW00007057,6
HW00001968,0
HW00005696,6
HW00002918,0
HW00007080,4
HW00002134,6
HW00000326,0
HW00000212,0
HW00005515,0
HW00006838,0
HW00001772,0
HW00007230,0
HW00005503,0
HW00004971,9
HW00007538,0
HW00007633,6
HW00002356,6
HW00000937,0
HW00007169,0
HW00003960,0
HW00006556,0
HW00005441,3
HW00006375,0
HW00007515,7
HW00000153,0
HW00001323,6
HW00000384,0
HW00000496,0
HW00004538,0
HW00007309,6
HW00004307,6
HW00004342,0
HW00007178,0
HW00000982,9
HW00005570,0
HW00004317,0
HW00005473,6
HW00002934,0
HW00003417,0
HW00001688,6
HW00005459,5
HW00004830,6
HW00004056,0
HW00004231,0
HW00001252,0
HW00004126,6
HW00003376,0
HW00000180,6
HW00002026,0
HW00001356,0
HW00000734,0
HW00000823,0
HW00004997,8
HW00006133,0
HW00005563,0
HW00000025,0
HW00005234,0
HW00003730,6
HW00007114,0
HW00001131,0
HW00002252,0
HW00002655,0
HW00000475,6
HW00001584,5
HW00005449,6
HW00001738,2
HW00000219,6
HW00005150,0
HW00004409,0
HW00002159,0
HW00005634,9
HW00002581,0
HW00005959,0
HW00002949,9
HW00007779,1
HW00005620,0
HW00007835,0
HW00005140,9
HW00006003,0
HW00003615,0
HW00000267,0
HW00004240,0
HW00002534,0
HW00000029,6
HW00003654,0
HW00006294,6
HW00002578,6
HW00000014,0
HW00001208,0
HW00001298,0
HW00005362,0
HW00007722,6
HW00005991,0
HW00006827,0
HW00000832,0
HW00005267,0
HW00000576,6
HW00003629,0
HW00005088,6
HW00005861,2
HW00006569,6
HW00002801,9
HW00007467,0
HW00004270,0
HW00007418,6
HW00005915,0
HW00001648,6
HW00006898,0
HW00007083,0
HW00002346,0
HW00003908,6
HW00005553,0
HW00004077,0
HW00002738,6
HW00005943,6
HW00007063,6
HW00003747,6
HW00003962,0
HW00005272,0
HW00004680,0
HW00005658,0
HW00002335,0
HW00007298,0
HW00007674,2
HW00006825,0
HW00004698,0
HW00003661,0
HW00003735,6
HW00007705,6
HW00004860,0
HW00001473,0
HW00003040,0
HW00001478,0
HW00000463,0
HW00002029,0
HW00001692,0
HW00003698,6
HW00001318,6
HW00002116,0
HW00001945,0
HW00002816,0
HW00007563,6
HW00005499,0
HW00006953,0
HW00001827,6
HW00003370,0
HW00001655,0
HW00002196,6
HW00002679,0
HW00005370,6
HW00007411,1
HW00000653,6
HW00007897,0
HW00005241,2
HW00000508,4
HW00005385,6
HW00002842,0
HW00004097,0
HW00004261,6
HW00003970,6
HW00002847,0
HW00000759,6
HW00004234,6
HW00004970,0
HW00005855,0
HW00004756,6
HW00003276,6
HW00004914,0
HW00003229,6
HW00000117,0
HW00002206,6
HW00007774,0
HW00006637,6
HW00006362,0
HW00006476,6
HW00001433,0
HW00007379,0
HW00006463,0
HW00005995,0
HW00005055,0
HW00001724,0
HW00000973,0
HW00005376,0
HW00006201,0
HW00002167,0
HW00004808,0
HW00001698,0
HW00002392,0
HW00007035,0
HW00006902,0
HW00003539,0
HW00004403,0
HW00002201,0
HW00005029,0
HW00005870,0
HW00003567,0
HW00007605,0
HW00002191,0
HW00003235,0
HW00004937,0
HW00000859,0
HW00004089,0
HW00004871,0
HW00003206,0
HW00006557,0
HW00001016,0
HW00002393,0
HW00007891,0
HW00004310,0
HW00005123,0
HW00004031,0
HW00002031,5
HW00000322,0
HW00007806,0
HW00005226,0
HW00000235,9
HW00004945,0
HW00006880,0
HW00005105,0
HW00007090,0
HW00007634,0
HW00007452,0
HW00001799,0
HW00005090,0
HW00002292,0
HW00003473,0
HW00002754,0
HW00006837,0
HW00003787,0
HW00007660,0
HW00006738,0
HW00001695,0
HW00003053,0
HW00006661,0
HW00000555,0
HW00000780,0
HW00007628,0
HW00000627,0
HW00001368,0
HW00002957,0
HW00006929,0
HW00001120,0
HW00003836,0
HW00003935,0
HW00000126,0
HW00001341,4
HW00006122,0
HW00006859,0
HW00002376,0
HW00005057,0
HW00004850,0
HW00000703,0
HW00007352,0
HW00003727,0
HW00000825,2
HW00002339,0
HW00003820,0
HW00003494,0
HW00003130,0
HW00002596,0
HW00003163,0
HW00002829,0
HW00005414,0
HW00006368,0
HW00005329,1
HW00006718,0
HW00002683,0
HW00005982,0
HW00007526,0
HW00003293,0
HW00001808,0
HW00006319,0
HW00003337,0
HW00004979,0
HW00002080,0
HW00004823,0
HW00006697,9
HW00001694,0
HW00006313,0
HW00005977,0
HW00000688,0
HW00002962,0
HW00000560,0
HW00000659,0
HW00005565,0
HW00001931,0
HW00007468,0
HW00004741,0
HW00001930,0
HW00003193,0
HW00000669,0
HW00001417,0
HW00000183,0
HW00001766,0
HW00005144,0
HW00007170,0
HW00005566,0
HW00002739,0
HW00005082,0
HW00007687,0
HW00007459,0
HW00003127,0
HW00007166,0
HW00004595,0
HW00002345,0
HW00003390,0
HW00001115,0
HW00002306,0
HW00006764,0
HW00000783,0
HW00003419,9
HW00004731,0
HW00001116,0
HW00003768,0
HW00003993,0
HW00000787,0
HW00003718,0
HW00001977,0
HW00007497,0
HW00000288,0
HW00000955,0
HW00002142,0
HW00001113,0
HW00000155,9
HW00001635,0
HW00004853,0
HW00006016,1
HW00004263,0
HW00005085,0
HW00001756,4
HW00007510,6
HW00006775,0
HW00004942,0
HW00006941,0
HW00007850,0
HW00006333,0
HW00002589,0
HW00003589,4
HW00001127,4
HW00001537,2
HW00005262,0
HW00001795,0
HW00006516,0
HW00006580,0
HW00005142,0
HW00005957,0
HW00004456,2
HW00007104,1
HW00007425,0
HW00000218,0
HW00001343,0
HW00005059,0
HW00000640,0
HW00000953,0
HW00001026,0
HW00002851,0
HW00004732,0
HW00001434,2
HW00006951,1
HW00002879,0
HW00003011,0
HW00006017,0
HW00003361,0
HW00004246,0
HW00007692,0
HW00003772,0
HW00000936,0
HW00000086,0
HW00007094,0
HW00007496,0
HW00003234,0
HW00000387,0
HW00007288,0
HW00004395,1
HW00005997,0
HW00000016,0
HW00001324,1
HW00005030,0
HW00004271,0
HW00004304,0
HW00000995,1
HW00002088,0
HW00002685,0
HW00002468,0
HW00005757,0
HW00001888,1
HW00001628,0
HW00006849,0
HW00000130,0
HW00006373,0
HW00003890,0
HW00007072,0
HW00000090,7
HW00004101,0
HW00004918,0
HW00001983,0
HW00001755,0
HW00004923,0
HW00007920,0
HW00007410,0
HW00004421,0
HW00005312,0
HW00007936,0
HW00007617,0
HW00006946,0
HW00007345,0
HW00004275,0
HW00005208,0
HW00003389,0
HW00000395,0
HW00003238,0
HW00005567,9
HW00000347,0
HW00006579,0
HW00004807,4
HW00004922,5
HW00004476,0
HW00001958,5
HW00003532,0
HW00003020,0
HW00000957,0
HW00003420,0
HW00005069,0
HW00006625,0
HW00004930,0
HW00007770,4
HW00003514,0
HW00005019,0
HW00001857,0
HW00002111,1
HW00004792,0
HW00007121,5
HW00007714,0
HW00001465,1
HW00000429,0
HW00000244,0
HW00007362,0
HW00003895,0
HW00003196,4
HW00001345,0
HW00007060,0
HW00007564,1
HW00004167,0
HW00001800,0
HW00006547,0
HW00002338,0
HW00005042,0
HW00002342,0
HW00004115,0
HW00004625,0
HW00007494,0
HW00000677,0
HW00000415,0
HW00001822,1
HW00002070,0
HW00002400,2
HW00006018,4
HW00000897,0
HW00007034,0
HW00000450,0
HW00007285,0
HW00000170,0
HW00003524,0
HW00002711,0
HW00000484,0
HW00001927,0
HW00005791,0
HW00003350,4
HW00003616,0
HW00002396,9
HW00000754,0
HW00003657,0
HW00004720,0
HW00005907,0
HW00003952,0
HW00005528,0
HW00004356,0
HW00000726,1
HW00007244,0
HW00005012,0
HW00003851,0
HW00001882,0
HW00005604,0
HW00004308,0
HW00002465,0
HW00001883,3
HW00002320,1
HW00007699,0
HW00004250,1
HW00001558,4
HW00002156,0
HW00004708,0
HW00002827,0
HW00006225,0
HW00003535,0
HW00004332,4
HW00007531,1
HW00006862,0
